,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
55,R4PKAZRQJJX14,1,21,34,N,N
74,R2CI0Y288CC7E2,1,21,35,N,Y
209,R127WEQY2FM1T3,1,147,175,N,Y
289,R3EZ0EPYLDA34S,1,14,31,N,Y
483,R2FJ94555FZH32,2,55,60,N,N
537,R1U3AR67RE273L,1,51,65,N,Y
670,R3PZOXA5X1U8KW,4,31,36,N,N
1359,R6KTC1OPIOIIG,2,19,34,N,Y
1402,R36O341WWXXKNP,5,28,31,N,N
1450,R3GSK9MM8DNOYI,1,4,32,N,N
1587,R10LZVBLQHBVJ0,2,151,198,N,N
1788,R1VR5GLGY1GE7N,1,49,51,N,Y
1845,R3GUUC6NT4QMCL,1,5,36,N,N
1922,R1ZSD020RT18I5,1,7,139,N,N
2178,R113X48B575ASY,1,15,45,N,N
2214,RJLYLGRYH7SFQ,1,34,116,N,N
2451,R2OWDAR0EDEPTF,1,23,28,N,N
2500,R3CICXKAHN6NUD,1,0,23,N,Y
2507,R29BOS5HMAY1LO,5,88,110,N,N
2645,R8WD0136CETA7,2,99,119,N,N
2661,R1T6U2ZTAVYG9T,1,6,44,N,N
2786,R16621F16PQN5A,3,24,31,N,Y
2829,R1LXBPG1M9DDOC,1,102,106,N,N
3030,R15XBIFN7R8608,1,8,75,N,N
3075,RNEMGSUKJ4535,2,21,25,N,Y
3211,R14DA3NTAKENT7,1,2,24,N,Y
3357,R3R2UKBFKP1IQ4,1,19,23,N,Y
3436,R2T90XM5G2DBZA,3,15,22,N,Y
3450,R5ZMK0Y0KRBRZ,1,79,91,N,N
3514,R12E2W0XOV3I2S,1,24,30,N,Y
3582,R1AEABJFBSYSZC,2,44,53,N,Y
3640,R2MIOC0EABH1ZM,1,32,33,N,Y
3683,R1RTIKR8HWSJYQ,1,0,20,N,N
3787,R3RHVOI1E71SRQ,1,3,31,N,N
3800,R1EFQCU4O6THP3,1,44,55,N,Y
3816,R4HTDKN4IZD7J,1,150,172,N,N
3932,RDX2ZZ46AM343,5,32,34,N,Y
3986,R2BXC8UAXJXWTU,1,1,22,N,Y
4133,R60GI4Z1CNGGV,5,17,20,N,Y
4299,R3GREULK952OO8,2,23,29,N,N
4408,R5BJZY2B2DC3I,1,6,39,N,N
4551,RIDXF6ZAXQWU7,2,49,61,N,N
4570,R17WUQD2WO6PXN,1,3,52,N,N
4636,R658TYH5GMTGU,1,3,28,N,Y
4655,R37IYC3C5BGYTD,1,6,117,N,N
4675,R3QEHRKPDDDJ3F,4,79,82,N,N
4694,R2UHB4QYBZNQGW,1,3,30,N,Y
4696,R29OV327V7YZGV,4,243,256,N,N
5088,R1PC3V3F59Y14F,1,18,22,N,Y
5095,RJFV367934CV2,1,2,25,N,N
5137,RI6071VCYO6KH,1,1,29,N,Y
5222,R22WO89JM9T6QO,2,26,33,N,Y
5278,R2FAARI3JQO9XQ,5,29,30,N,Y
5338,R2FKTTW5P4Q8TU,1,10,31,N,N
5423,R35D23GJN1QGR7,3,39,47,N,N
5489,RQQZEFETCL1F4,1,45,54,N,N
5526,R2WS53BH47WUMT,5,68,84,N,N
5540,R2BBH73BUJYBGK,5,18,22,N,N
5544,R1BK9FJTTTM078,1,1,46,N,N
5568,R2SEY6BJG2PNI7,3,25,40,N,N
5585,R29XGNCNFW715U,1,1,48,N,N
5602,R18ZBSSAMJOV8I,5,450,471,N,N
5706,R2SLS349O4FNP3,1,0,49,N,Y
5763,R2PL5Z22NOXOGC,3,16,22,N,N
5824,R2FVQ2YBZIUCZN,2,3,24,N,N
5840,R2708NF5UG7339,1,1,50,N,N
5846,R2NRGYM7XY4LMP,1,42,48,N,Y
5851,R3MNCTI3FCVX9O,2,80,98,N,Y
5880,RYJVJ765QAQJW,1,14,20,N,N
5918,R2BUAODG1CZVIP,1,5,130,N,N
5977,RDZMTFIR8R50W,1,4,46,N,Y
5987,R3M42FPE0VJA0U,5,20,22,N,Y
5999,R2C0GU1JKST8I0,1,8,43,N,N
